947337664,NORMAL,150717:20383600,32.086079:34.885818,36.71
947337665,SHARP ACCL,150717:20383700,32.086090:34.885925,36.95
947337666,SHARP ACCL,150717:20383700,32.086094:34.886040,37.26
947337668,NORMAL,150717:20383900,32.086113:34.886299,44.54
947337669,SHARP ACCL,150717:20384000,32.086124:34.886433,45.21
947337670,SHARP ACCL,150717:20384100,32.086143:34.886578,44.5
947337671,NORMAL,150717:20384200,32.086159:34.886730,49.93
947337673,NORMAL,150717:20384400,32.086189:34.887039,52.13
947337674,NORMAL,150717:20384500,32.086205:34.887180,49.8
947337675,NORMAL,150717:20384600,32.086212:34.887302,46.11
947337679,SHARP ACCL,150717:20385000,32.086056:34.887577,22.95
947337680,SHARP ACCL,150717:20385100,32.085941:34.887634,32
947337681,NORMAL,150717:20385200,32.085812:34.887676,37.13
947337683,NORMAL,150717:20385400,32.085545:34.887749,46.61
947337684,NORMAL,150717:20385500,32.085426:34.887772,44.56
947337685,NORMAL,150717:20385600,32.085323:34.887764,42.28
947337686,NORMAL,150717:20385700,32.085217:34.887772,40.3
947337689,NORMAL,150717:20390000,32.084923:34.887821,37.23
947337690,SHARP ACCL,150717:20390100,32.084824:34.887833,37.48
947337691,SHARP ACCL,150717:20390200,32.084721:34.887848,39.71
947337693,NORMAL,150717:20390400,32.084480:34.887897,48.71
947337694,NORMAL,150717:20390500,32.084354:34.887932,50.8
947337695,NORMAL,150717:20390600,32.084221:34.887997,51.87
947337696,SHARP ACCL,150717:20390700,32.084095:34.888023,51.41
947337698,NORMAL,150717:20390900,32.083801:34.888130,61.25
947337699,NORMAL,150717:20391000,32.083649:34.888195,60.93
947337700,NORMAL,150717:20391100,32.083504:34.888248,59.67
947337701,NORMAL,150717:20391200,32.083366:34.888294,57.88
947337703,NORMAL,150717:20391400,32.083145:34.888378,49.24
947337704,NORMAL,150717:20391500,32.083065:34.888409,40.21
947337705,NORMAL,150717:20391600,32.083000:34.888428,31.5
947337706,NORMAL,150717:20391700,32.082947:34.888443,25.85
947337708,NORMAL,150717:20391900,32.082840:34.888477,22.39
947337709,SHARP ACCL,150717:20392000,32.082787:34.888485,21.41
947337710,NORMAL,150717:20392100,32.082729:34.888485,22.34
947337711,SHARP LEFT,150717:20392200,32.082664:34.888489,25.72
947337713,SHARP LEFT,150717:20392400,32.082584:34.888573,20.54
947337714,SHARP LEFT,150717:20392500,32.082588:34.888626,21.63
947337715,SHARP LEFT,150717:20392600,32.082638:34.888626,18.85
947337716,SHARP LEFT,150717:20392700,32.082710:34.888577,14.95
947337718,NORMAL,150717:20392900,32.082890:34.888462,30.26
947337719,SHARP ACCL,150717:20393000,32.082973:34.888428,32.8
947337720,SHARP ACCL,150717:20393100,32.083073:34.888397,34.45
947337721,NORMAL,150717:20393200,32.083187:34.888363,40.37
947337724,NORMAL,150717:20393500,32.083572:34.888229,54.12
947337725,NORMAL,150717:20393600,32.083698:34.888180,54.23
947337726,NORMAL,150717:20393700,32.083820:34.888130,51.69
947337728,NORMAL,150717:20393900,32.084030:34.888042,46.34
947337729,NORMAL,150717:20394000,32.084122:34.888012,41.28
947337730,SHARP LEFT,150717:20394100,32.084187:34.887985,33.11
947337731,SHARP LEFT,150717:20394200,32.084240:34.887939,25.08
947337733,SHARP ACCL,150717:20394400,32.084255:34.887772,28.35
947337734,SHARP ACCL,150717:20394500,32.084244:34.887680,28.09
947337735,NORMAL,150717:20394600,32.084229:34.887585,31.95
947337736,NORMAL,150717:20394700,32.084206:34.887493,33.06
947337739,NORMAL,150717:20395000,32.084179:34.887222,29.32
947337740,NORMAL,150717:20395100,32.084175:34.887131,30.45
947337741,NORMAL,150717:20395200,32.084179:34.887047,28.59
947337744,NORMAL,150717:20395500,32.084171:34.886864,18.5
947337745,NORMAL,150717:20395600,32.084171:34.886848,10.45
947337746,SHARP ACCL,150717:20395700,32.084167:34.886833,3.59
947337749,NORMAL,150717:20400000,32.084160:34.886684,21.72
947337750,NORMAL,150717:20400100,32.084152:34.886612,23.74
947337751,NORMAL,150717:20400200,32.084145:34.886551,23.89
947337754,NORMAL,150717:20400500,32.084053:34.886425,17.28
947337755,NORMAL,150717:20400600,32.084030:34.886398,15.85
947337756,NORMAL,150717:20400700,32.084015:34.886372,13
947340872,NORMAL,150717:21320700,32.083908:34.886227,0.17
947340874,NORMAL,150717:21320800,32.083923:34.886238,0.24
947340875,NORMAL,150717:21320900,32.083927:34.886246,0.31
947340876,NORMAL,150717:21321000,32.083935:34.886250,0.33
947340877,NORMAL,150717:21321100,32.083939:34.886253,0.35
947340879,NORMAL,150717:21321300,32.083946:34.886261,0.5
947340880,NORMAL,150717:21321400,32.083946:34.886265,0.24
947340881,NORMAL,150717:21321500,32.083946:34.886261,0.17
947340882,NORMAL,150717:21321600,32.083946:34.886265,0
947340884,NORMAL,150717:21321800,32.083935:34.886253,0.13
947340885,NORMAL,150717:21321900,32.083935:34.886253,0.22
947340886,NORMAL,150717:21322000,32.083965:34.886284,0
947340887,NORMAL,150717:21322100,32.083965:34.886284,0.11
947340889,NORMAL,150717:21322300,32.083965:34.886284,0
947340890,NORMAL,150717:21322400,32.083965:34.886284,0
947340891,NORMAL,150717:21322500,32.083965:34.886284,0
947340892,NORMAL,150717:21322600,32.083965:34.886284,0
947340894,NORMAL,150717:21322800,32.083965:34.886284,0
947340895,NORMAL,150717:21322900,32.083977:34.886292,0
947340896,NORMAL,150717:21323000,32.083981:34.886303,0.94
947340897,NORMAL,150717:21323100,32.083988:34.886311,2.24
947340899,NORMAL,150717:21323300,32.084000:34.886337,3.46
947340900,NORMAL,150717:21323400,32.084007:34.886349,3.69
947340901,NORMAL,150717:21323500,32.084015:34.886360,3.74
947340902,NORMAL,150717:21323600,32.084023:34.886372,3.69
947340905,NORMAL,150717:21323900,32.084049:34.886398,3
947340906,SHARP ACCL,150717:21324000,32.084053:34.886406,2.15
947340907,SHARP ACCL,150717:21324100,32.084053:34.886402,1
947340910,NORMAL,150717:21324400,32.084042:34.886303,15.19
947340911,SHARP ACCL,150717:21324500,32.084034:34.886257,15.46
947340912,NORMAL,150717:21324600,32.084023:34.886208,15.54
947340915,NORMAL,150717:21324900,32.083977:34.886002,24.19
947340916,NORMAL,150717:21325000,32.083958:34.885921,26.3
947340917,NORMAL,150717:21325100,32.083935:34.885838,28.34
947340920,NORMAL,150717:21325400,32.083881:34.885605,24.19
947340921,NORMAL,150717:21325500,32.083866:34.885540,23.06
947340922,NORMAL,150717:21325600,32.083855:34.885468,24.24
947340925,SHARP ACCL,150717:21325900,32.083790:34.885227,27.54
947340926,NORMAL,150717:21330000,32.083767:34.885136,29.39
947340927,NORMAL,150717:21330100,32.083736:34.885036,32.06
947340930,NORMAL,150717:21330400,32.083664:34.884766,28.78
947340931,NORMAL,150717:21330500,32.083641:34.884682,27.61
947340932,NORMAL,150717:21330600,32.083618:34.884605,28.93
947340935,NORMAL,150717:21330900,32.083538:34.884377,24.87
947340936,NORMAL,150717:21331000,32.083515:34.884308,25.22
947340937,SHARP LEFT,150717:21331100,32.083473:34.884254,23.39
947340940,NORMAL,150717:21331400,32.083286:34.884289,23.98
947340941,NORMAL,150717:21331500,32.083210:34.884319,29.69
947340942,NORMAL,150717:21331600,32.083141:34.884350,31.08
947340945,NORMAL,150717:21331900,32.082890:34.884415,30.76
947340946,NORMAL,150717:21332000,32.082817:34.884457,32.19
947340947,NORMAL,150717:21332100,32.082745:34.884487,30.95
947340949,NORMAL,150717:21332300,32.082607:34.884548,29.59
947340950,NORMAL,150717:21332400,32.082550:34.884575,26.37
947340951,NORMAL,150717:21332500,32.082470:34.884590,23.91
947340952,NORMAL,150717:21332600,32.082397:34.884617,28.89
947340954,NORMAL,150717:21332800,32.082245:34.884655,29.34
947340955,NORMAL,150717:21332900,32.082172:34.884682,27.84
947340956,NORMAL,150717:21333000,32.082111:34.884705,26.65
947340957,NORMAL,150717:21333100,32.082047:34.884720,25.87
947340960,NORMAL,150717:21333400,32.081886:34.884785,20.95
947340961,NORMAL,150717:21333500,32.081841:34.884792,19.78
947340962,NORMAL,150717:21333600,32.081810:34.884800,15.82
947340964,SHARP ACCL,150717:21333800,32.081799:34.884773,2.69
947340965,SHARP ACCL,150717:21333900,32.081779:34.884773,3.2
947340966,NORMAL,150717:21334000,32.081741:34.884789,11.48
947340967,NORMAL,150717:21334100,32.081696:34.884811,19.45
947340970,NORMAL,150717:21334400,32.081547:34.884888,21.54
947340971,NORMAL,150717:21334500,32.081478:34.884903,23.56
947340972,NORMAL,150717:21334600,32.081421:34.884926,22.84
947340975,NORMAL,150717:21334900,32.081295:34.884995,17.63
947340976,NORMAL,150717:21335000,32.081242:34.885017,19.72
947340977,NORMAL,150717:21335100,32.081192:34.885033,20.33
947340980,NORMAL,150717:21335400,32.081032:34.885086,19.95
947340981,NORMAL,150717:21335500,32.080990:34.885098,19.43
947340982,NORMAL,150717:21335600,32.080952:34.885105,18.63
947340985,NORMAL,150717:21335900,32.080826:34.885139,15.76
947340986,NORMAL,150717:21340000,32.080791:34.885147,11.63
947340987,NORMAL,150717:21340100,32.080769:34.885166,10.32
947340990,NORMAL,150717:21340400,32.080742:34.885170,0.54
947340991,NORMAL,150717:21340500,32.080742:34.885170,0.26
947340992,NORMAL,150717:21340600,32.080742:34.885170,0
947340995,NORMAL,150717:21340900,32.080742:34.885170,0
947340996,NORMAL,150717:21341000,32.080742:34.885170,0
947340997,NORMAL,150717:21341100,32.080742:34.885170,0
947340999,SHARP ACCL,150717:21341300,32.080742:34.885170,0.48
947341000,NORMAL,150717:21341400,32.080727:34.885189,4.94
947341001,NORMAL,150717:21341500,32.080700:34.885212,10.45
947341002,NORMAL,150717:21341600,32.080650:34.885235,15.17
947341005,SHARP ACCL,150717:21341900,32.080421:34.885292,24.95
947341006,NORMAL,150717:21342000,32.080330:34.885319,30.11
947341007,NORMAL,150717:21342100,32.080250:34.885349,32.1
947341009,NORMAL,150717:21342300,32.080101:34.885422,28.63
947341010,NORMAL,150717:21342400,32.080021:34.885448,27.85
947341011,NORMAL,150717:21342500,32.079956:34.885471,25.32
947341012,NORMAL,150717:21342600,32.079884:34.885490,23.85
947341015,NORMAL,150717:21342900,32.079758:34.885517,12.67
947341016,SHARP ACCL,150717:21343000,32.079735:34.885521,4.3
947341017,SHARP ACCL,150717:21343100,32.079716:34.885529,3.93
947341020,NORMAL,150717:21343400,32.079563:34.885571,23.3
947341021,NORMAL,150717:21343500,32.079491:34.885597,28.41
947341022,NORMAL,150717:21343600,32.079422:34.885620,28.8
947341025,NORMAL,150717:21343900,32.079208:34.885696,29.52
947341026,NORMAL,150717:21344000,32.079128:34.885719,30.28
947341027,NORMAL,150717:21344100,32.079052:34.885746,30.72
947341030,NORMAL,150717:21344400,32.078831:34.885822,29.72
947341031,NORMAL,150717:21344500,32.078766:34.885857,28.56
947341032,NORMAL,150717:21344600,32.078701:34.885887,27.71
947341035,NORMAL,150717:21344900,32.078503:34.885994,30.71
947341036,NORMAL,150717:21345000,32.078419:34.886028,33.89
947341037,NORMAL,150717:21345100,32.078339:34.886066,37.71
947341040,NORMAL,150717:21345400,32.078102:34.886162,32.84
947341041,NORMAL,150717:21345500,32.078030:34.886189,29.93
947341042,NORMAL,150717:21345600,32.077961:34.886208,27.97
947341045,NORMAL,150717:21345900,32.077744:34.886284,29.43
947341046,NORMAL,150717:21350000,32.077675:34.886311,31.47
947341047,NORMAL,150717:21350100,32.077602:34.886337,29.3
947341050,NORMAL,150717:21350400,32.077393:34.886417,31.6
947341051,NORMAL,150717:21350500,32.077324:34.886456,30.58
947341052,NORMAL,150717:21350600,32.077271:34.886505,31.06
947341055,NORMAL,150717:21350900,32.077133:34.886627,22.32
947341056,SHARP RIGHT,150717:21351000,32.077084:34.886635,19.08
947341060,NORMAL,150717:21351400,32.076931:34.886463,22.39
947341061,NORMAL,150717:21351500,32.076889:34.886395,26.3
947341062,NORMAL,150717:21351600,32.076839:34.886341,28.61
947341065,NORMAL,150717:21351900,32.076687:34.886135,29.47
947341066,NORMAL,150717:21352000,32.076637:34.886051,31.56
947341067,NORMAL,150717:21352100,32.076591:34.885967,31.48
947341069,NORMAL,150717:21352300,32.076511:34.885803,28.71
947341070,NORMAL,150717:21352400,32.076485:34.885719,28.32
947341071,NORMAL,150717:21352500,32.076466:34.885639,27.89
947341072,NORMAL,150717:21352600,32.076462:34.885567,25.71
947341074,NORMAL,150717:21352800,32.076462:34.885471,13.56
947341075,NORMAL,150717:21352900,32.076462:34.885448,9.2
947341076,NORMAL,150717:21353000,32.076462:34.885448,3.09
947341077,SHARP ACCL,150717:21353100,32.076462:34.885441,0.06
947341080,SHARP LEFT,150717:21353400,32.076454:34.885315,16.43
947341082,NORMAL,150717:21353600,32.076389:34.885178,27
947341084,NORMAL,150717:21353800,32.076298:34.885025,31.39
947341085,NORMAL,150717:21353900,32.076256:34.884933,32.3
947341086,NORMAL,150717:21354000,32.076210:34.884842,33.78
947341087,NORMAL,150717:21354100,32.076157:34.884743,36.41
947341089,SHARP RIGHT,150717:21354300,32.076069:34.884544,37.19
947341092,NORMAL,150717:21354600,32.076164:34.884323,25.78
947341094,NORMAL,150717:21354800,32.076290:34.884201,25.09
947341095,SHARP RIGHT,150717:21354900,32.076340:34.884132,27.48
947341096,NORMAL,150717:21355000,32.076412:34.884068,30.02
947341097,NORMAL,150717:21355100,32.076481:34.884003,34.04
947341100,NORMAL,150717:21355400,32.076675:34.883831,32.04
947341101,NORMAL,150717:21355500,32.076736:34.883774,30.26
947341102,NORMAL,150717:21355600,32.076794:34.883717,29.04
947341105,NORMAL,150717:21355900,32.076981:34.883514,34.19
947341106,NORMAL,150717:21360000,32.077034:34.883446,33.78
947341107,NORMAL,150717:21360100,32.077084:34.883385,30.71
947341110,NORMAL,150717:21360400,32.077209:34.883202,27.43
947341111,NORMAL,150717:21360500,32.077271:34.883133,27.67
947341112,NORMAL,150717:21360600,32.077335:34.883060,32.93
947341115,NORMAL,150717:21360900,32.077534:34.882843,34.13
947341116,NORMAL,150717:21361000,32.077599:34.882771,34.65
947341117,NORMAL,150717:21361100,32.077660:34.882702,33.56
947341120,NORMAL,150717:21361400,32.077820:34.882488,33.41
947341121,NORMAL,150717:21361500,32.077873:34.882423,31.91
947341122,NORMAL,150717:21361600,32.077927:34.882355,30.85
947341125,NORMAL,150717:21361900,32.078087:34.882141,35.32
947341126,NORMAL,150717:21362000,32.078144:34.882065,35.13
947341127,NORMAL,150717:21362100,32.078205:34.881996,34.32
947341131,NORMAL,150717:21362500,32.078434:34.881748,30
947341132,NORMAL,150717:21362600,32.078484:34.881691,28.39
947341135,NORMAL,150717:21362900,32.078644:34.881504,31.5
947341136,NORMAL,150717:21363000,32.078701:34.881439,31.02
947341137,NORMAL,150717:21363100,32.078758:34.881378,30.87
947341140,NORMAL,150717:21363400,32.078930:34.881184,31.35
947341142,NORMAL,150717:21363600,32.079037:34.881050,30.15
947341145,NORMAL,150717:21363900,32.079220:34.880840,31.74
947341146,NORMAL,150717:21364000,32.079281:34.880772,32.6
947341147,NORMAL,150717:21364100,32.079346:34.880695,34.48
947341149,NORMAL,150717:21364300,32.079460:34.880539,36.48
947341150,NORMAL,150717:21364400,32.079514:34.880466,35.41
947341152,NORMAL,150717:21364600,32.079620:34.880325,31.98
947341155,NORMAL,150717:21364900,32.079777:34.880127,29.82
947341156,NORMAL,150717:21365000,32.079834:34.880062,31.47
947341157,NORMAL,150717:21365100,32.079895:34.880001,32.54
947341160,NORMAL,150717:21365400,32.080063:34.879807,32.04
947341165,SHARP ACCL,150717:21365900,32.080158:34.879688,1.07
947341166,SHARP ACCL,150717:21370000,32.080173:34.879665,4.56
947341167,NORMAL,150717:21370100,32.080196:34.879612,14.06
947341170,NORMAL,150717:21370400,32.080223:34.879353,31.02
947341171,NORMAL,150717:21370500,32.080227:34.879253,31.93
947341172,NORMAL,150717:21370600,32.080238:34.879162,30.43
947341175,NORMAL,150717:21370900,32.080265:34.878876,32.56
947341176,NORMAL,150717:21371000,32.080265:34.878780,31.58
947341177,NORMAL,150717:21371100,32.080265:34.878685,30.89
947341180,NORMAL,150717:21371400,32.080284:34.878422,29
947341181,NORMAL,150717:21371500,32.080296:34.878342,27.87
947341182,NORMAL,150717:21371600,32.080311:34.878262,26.85
947341185,SHARP LEFT,150717:21371900,32.080353:34.878036,26.65
947341186,SHARP LEFT,150717:21372000,32.080334:34.877983,23.26
947341187,SHARP LEFT,150717:21372100,32.080276:34.877995,15.78
947341190,NORMAL,150717:21372400,32.079987:34.878067,32.95
