947337664,NORMAL,150717:20383600,32.086079:34.885818,36.71
947341191,SHARP ACCL,150717:21372500,32.079887:34.878075,35.15
947341192,NORMAL,150717:21372600,32.079777:34.878090,39.47
947341196,SHARP ACCL,150717:21373000,32.079441:34.878334,40.45
947341197,NORMAL,150717:21373100,32.079369:34.878445,45.17
947341199,NORMAL,150717:21373300,32.079227:34.878674,49.91
947341200,NORMAL,150717:21373400,32.079147:34.878788,49.93
947341201,NORMAL,150717:21373500,32.079060:34.878895,50.6
947341202,NORMAL,150717:21373600,32.078976:34.878998,50.87
947341205,NORMAL,150717:21373900,32.078728:34.879318,48.84
947341206,NORMAL,150717:21374000,32.078640:34.879433,52.63
947341207,NORMAL,150717:21374100,32.078552:34.879547,52.76
947341209,NORMAL,150717:21374300,32.078415:34.879799,51.32
947341210,NORMAL,150717:21374400,32.078339:34.879910,49.82
947341211,NORMAL,150717:21374500,32.078259:34.880013,48.76
947341212,NORMAL,150717:21374600,32.078182:34.880104,46.06
947341216,SHARP RIGHT,150717:21375000,32.077862:34.880157,25.85
947341217,SHARP RIGHT,150717:21375100,32.077797:34.880074,26.22
947341220,NORMAL,150717:21375400,32.077740:34.879665,36.06
947341221,NORMAL,150717:21375500,32.077728:34.879536,38.73
947341222,NORMAL,150717:21375600,32.077721:34.879398,41.17
947341224,NORMAL,150717:21375800,32.077732:34.879147,40.43
947341226,NORMAL,150717:21380000,32.077744:34.878933,35.37
947341227,NORMAL,150717:21380100,32.077755:34.878834,32.97
947341229,NORMAL,150717:21380300,32.077766:34.878620,34.35
947341230,NORMAL,150717:21380400,32.077770:34.878502,37.91
947341231,NORMAL,150717:21380500,32.077782:34.878395,36.8
947341232,NORMAL,150717:21380600,32.077774:34.878277,35.47
947341235,NORMAL,150717:21380900,32.077763:34.877934,36.61
947341236,NORMAL,150717:21381000,32.077763:34.877827,35.56
947341237,NORMAL,150717:21381100,32.077766:34.877720,34.74
947341240,NORMAL,150717:21381400,32.077770:34.877407,33.63
947341241,NORMAL,150717:21381500,32.077770:34.877296,36
947341245,NORMAL,150717:21381900,32.077774:34.876877,35.11
947341246,NORMAL,150717:21382000,32.077774:34.876770,35.67
947341247,NORMAL,150717:21382100,32.077774:34.876667,34.61
947341249,NORMAL,150717:21382300,32.077778:34.876457,35.11
947341250,NORMAL,150717:21382400,32.077782:34.876343,38.21
947341251,NORMAL,150717:21382500,32.077782:34.876232,37.93
947341252,NORMAL,150717:21382600,32.077782:34.876125,36.84
947341256,NORMAL,150717:21383000,32.077835:34.875763,29.95
947341257,SHARP LEFT,150717:21383100,32.077862:34.875683,30.6
947341260,SHARP RIGHT,150717:21383400,32.077820:34.875427,28.72
947341261,NORMAL,150717:21383500,32.077816:34.875332,32.32
947341262,NORMAL,150717:21383600,32.077805:34.875221,35.58
947341265,NORMAL,150717:21383900,32.077793:34.874851,42.52
947341266,NORMAL,150717:21384000,32.077797:34.874725,42.02
947341267,NORMAL,150717:21384100,32.077785:34.874596,40.91
947341270,NORMAL,150717:21384400,32.077793:34.874249,38.82
947341271,NORMAL,150717:21384500,32.077793:34.874142,36.71
947341272,NORMAL,150717:21384600,32.077789:34.874027,37.19
947341274,NORMAL,150717:21384800,32.077793:34.873798,38.37
947341275,NORMAL,150717:21384900,32.077801:34.873688,39.54
947341276,NORMAL,150717:21385000,32.077797:34.873566,38.61
947341277,NORMAL,150717:21385100,32.077789:34.873451,37.6
947341279,NORMAL,150717:21385300,32.077812:34.873245,35.78
947341280,NORMAL,150717:21385400,32.077812:34.873146,33.76
947341282,NORMAL,150717:21385600,32.077850:34.872967,31.15
947341285,SHARP RIGHT,150717:21385900,32.077820:34.872688,32.15
947341287,NORMAL,150717:21390100,32.077778:34.872448,39.37
947341290,NORMAL,150717:21390400,32.077774:34.872063,43.61
947341291,NORMAL,150717:21390500,32.077782:34.871937,43.89
947341292,NORMAL,150717:21390600,32.077789:34.871815,42.8
947341295,NORMAL,150717:21390900,32.077808:34.871452,41.02
947341296,NORMAL,150717:21391000,32.077824:34.871326,43.73
947341297,NORMAL,150717:21391100,32.077835:34.871208,42.52
947341300,NORMAL,150717:21391400,32.077850:34.870895,34.56
947341301,NORMAL,150717:21391500,32.077858:34.870800,34.1
947341302,NORMAL,150717:21391600,32.077862:34.870705,33.65
947341304,NORMAL,150717:21391800,32.077873:34.870537,28.89
947341305,NORMAL,150717:21391900,32.077888:34.870468,25.71
947341306,SHARP RIGHT,150717:21392000,32.077908:34.870403,23.74
947341307,SHARP RIGHT,150717:21392100,32.077946:34.870346,24.91
947341310,NORMAL,150717:21392400,32.078171:34.870304,31.76
947341311,NORMAL,150717:21392500,32.078259:34.870304,36.02
947341312,NORMAL,150717:21392600,32.078350:34.870304,37.23
947341315,NORMAL,150717:21392900,32.078667:34.870323,39.47
947341316,NORMAL,150717:21393000,32.078777:34.870335,38.54
947341317,NORMAL,150717:21393100,32.078876:34.870338,37.3
947341320,NORMAL,150717:21393400,32.079155:34.870358,34.65
947341321,NORMAL,150717:21393500,32.079239:34.870365,33.69
947341322,NORMAL,150717:21393600,32.079327:34.870373,33.04
947341324,NORMAL,150717:21393800,32.079494:34.870384,33.34
947341325,NORMAL,150717:21393900,32.079578:34.870392,33.93
947341326,NORMAL,150717:21394000,32.079670:34.870392,34.71
947341327,NORMAL,150717:21394100,32.079758:34.870399,35.37
947341330,NORMAL,150717:21394400,32.080036:34.870411,36.87
947341331,NORMAL,150717:21394500,32.080128:34.870415,37.1
947341332,NORMAL,150717:21394600,32.080223:34.870419,37.17
947341335,NORMAL,150717:21394900,32.080502:34.870434,36.95
947341336,NORMAL,150717:21395000,32.080593:34.870441,37.45
947341337,NORMAL,150717:21395100,32.080688:34.870445,37.5
947341340,NORMAL,150717:21395400,32.080948:34.870480,35.08
947341341,NORMAL,150717:21395500,32.081032:34.870495,35.21
947341342,NORMAL,150717:21395600,32.081120:34.870506,35.1
947341345,NORMAL,150717:21395900,32.081364:34.870541,32.11
947341346,NORMAL,150717:21400000,32.081440:34.870548,30.09
947341347,NORMAL,150717:21400100,32.081512:34.870560,29.71
947341350,NORMAL,150717:21400400,32.081745:34.870583,31.76
947341351,SHARP LEFT,150717:21400500,32.081810:34.870571,29.71
947341352,SHARP LEFT,150717:21400600,32.081863:34.870529,27.15
947341355,NORMAL,150717:21400900,32.081886:34.870308,23.63
947341356,NORMAL,150717:21401000,32.081875:34.870239,23.02
947341357,SHARP ACCL,150717:21401100,32.081867:34.870163,22.85
947341359,NORMAL,150717:21401300,32.081841:34.869984,31.22
947341362,SHARP RIGHT,150717:21401600,32.081890:34.869801,20.69
947341365,SHARP ACCL,150717:21401900,32.082134:34.869778,35.15
947341366,NORMAL,150717:21402000,32.082253:34.869785,41.28
947341367,NORMAL,150717:21402100,32.082378:34.869808,46.52
947341370,NORMAL,150717:21402400,32.082714:34.869869,42.34
947341371,NORMAL,150717:21402500,32.082817:34.869892,40.61
947341372,NORMAL,150717:21402600,32.082920:34.869915,39.5
947341375,NORMAL,150717:21402900,32.083195:34.869968,36.26
947341376,NORMAL,150717:21403000,32.083286:34.869980,37.5
947341377,NORMAL,150717:21403100,32.083378:34.869995,36.89
947341380,NORMAL,150717:21403400,32.083672:34.870049,40.93
947341381,NORMAL,150717:21403500,32.083778:34.870068,42.89
947341382,NORMAL,150717:21403600,32.083878:34.870087,41.98
947341384,NORMAL,150717:21403800,32.084080:34.870117,40.06
947341385,NORMAL,150717:21403900,32.084175:34.870136,39.73
947341386,NORMAL,150717:21404000,32.084267:34.870152,38.02
947341387,NORMAL,150717:21404100,32.084358:34.870167,36.47
947341389,NORMAL,150717:21404300,32.084530:34.870197,34.84
947341390,NORMAL,150717:21404400,32.084610:34.870205,33.76
947341391,NORMAL,150717:21404500,32.084690:34.870216,32.8
947341392,NORMAL,150717:21404600,32.084763:34.870228,30.21
947341395,NORMAL,150717:21404900,32.084988:34.870266,30.69
947341396,NORMAL,150717:21405000,32.085060:34.870281,30.34
947341400,NORMAL,150717:21405400,32.085232:34.870342,12.98
947341401,NORMAL,150717:21405500,32.085239:34.870346,4.33
947341402,NORMAL,150717:21405600,32.085239:34.870346,2.44
947341405,NORMAL,150717:21405900,32.085243:34.870346,0.02
947341406,NORMAL,150717:21410000,32.085243:34.870346,0
947341407,NORMAL,150717:21410100,32.085243:34.870346,0
947341410,NORMAL,150717:21410400,32.085243:34.870346,0
947341411,NORMAL,150717:21410500,32.085243:34.870346,0
947341412,NORMAL,150717:21410600,32.085243:34.870346,0
947341414,NORMAL,150717:21410800,32.085239:34.870346,0
947341415,NORMAL,150717:21410900,32.085243:34.870346,0.59
947341416,SHARP ACCL,150717:21411000,32.085255:34.870354,2.13
947341417,SHARP ACCL,150717:21411100,32.085285:34.870369,6.67
947341420,NORMAL,150717:21411400,32.085442:34.870392,22.21
947341421,NORMAL,150717:21411500,32.085499:34.870384,23.46
947341422,NORMAL,150717:21411600,32.085564:34.870384,23.74
947341424,NORMAL,150717:21411800,32.085701:34.870396,27.63
947341425,NORMAL,150717:21411900,32.085781:34.870399,29.19
947341426,NORMAL,150717:21412000,32.085854:34.870411,29.59
947341427,NORMAL,150717:21412100,32.085926:34.870422,29.8
947341430,NORMAL,150717:21412400,32.086151:34.870457,28.8
947341431,NORMAL,150717:21412500,32.086227:34.870468,29.91
947341432,NORMAL,150717:21412600,32.086311:34.870480,31.32
947341435,NORMAL,150717:21412900,32.086563:34.870525,34.82
947341436,NORMAL,150717:21413000,32.086651:34.870537,34.8
947341437,NORMAL,150717:21413100,32.086735:34.870548,34.11
947341440,NORMAL,150717:21413400,32.086971:34.870590,30.74
947341441,NORMAL,150717:21413500,32.087048:34.870602,30.74
947341442,NORMAL,150717:21413600,32.087128:34.870613,31.61
947341445,NORMAL,150717:21413900,32.087391:34.870659,35.43
947341446,NORMAL,150717:21414000,32.087475:34.870674,35.54
947341447,NORMAL,150717:21414100,32.087563:34.870686,35.28
947341450,NORMAL,150717:21414400,32.087811:34.870724,32.19
947341451,NORMAL,150717:21414500,32.087887:34.870735,31.3
947341452,NORMAL,150717:21414600,32.087959:34.870747,30.22
947341455,NORMAL,150717:21414900,32.088161:34.870773,27.69
947341457,NORMAL,150717:21415100,32.088257:34.870815,21.22
947341460,NORMAL,150717:21415400,32.088291:34.870911,9.74
947341461,NORMAL,150717:21415500,32.088295:34.870949,12.15
947341462,SHARP ACCL,150717:21415600,32.088295:34.870991,11.93
947341464,NORMAL,150717:21415800,32.088299:34.871109,18.32
947341465,NORMAL,150717:21415900,32.088299:34.871178,21.74
947341466,SHARP ACCL,150717:21420000,32.088291:34.871246,21.04
947341467,SHARP ACCL,150717:21420100,32.088284:34.871326,22.74
947341470,NORMAL,150717:21420400,32.088249:34.871597,31.45
947341471,NORMAL,150717:21420500,32.088234:34.871681,29.82
947341472,NORMAL,150717:21420600,32.088223:34.871765,26.85
947341475,NORMAL,150717:21420900,32.088203:34.872040,30.76
947341476,NORMAL,150717:21421000,32.088203:34.872124,27.85
947341477,NORMAL,150717:21421100,32.088200:34.872211,27.85
947341480,NORMAL,150717:21421400,32.088188:34.872478,29.26
947341481,NORMAL,150717:21421500,32.088188:34.872570,26.19
947341482,NORMAL,150717:21421600,32.088184:34.872654,25.02
947341484,SHARP ACCL,150717:21421800,32.088123:34.872768,25
947341485,NORMAL,150717:21421900,32.088089:34.872833,28.39
947341486,NORMAL,150717:21422000,32.088066:34.872913,31.04
947341487,NORMAL,150717:21422100,32.088043:34.872990,29.67
947341490,NORMAL,150717:21422400,32.087975:34.873234,30.65
947341491,NORMAL,150717:21422500,32.087952:34.873314,29.65
947341492,NORMAL,150717:21422600,32.087936:34.873398,29.45
947341495,NORMAL,150717:21422900,32.087875:34.873653,30.3
947341496,NORMAL,150717:21423000,32.087856:34.873741,30.97
947341497,NORMAL,150717:21423100,32.087837:34.873829,30.45
947341500,NORMAL,150717:21423400,32.087811:34.874115,31.74
947341501,NORMAL,150717:21423500,32.087795:34.874207,31.74
947341502,NORMAL,150717:21423600,32.087788:34.874298,31.24
947341505,NORMAL,150717:21423900,32.087749:34.874565,31.45
947341506,NORMAL,150717:21424000,32.087738:34.874657,29.84
947341511,SHARP RIGHT,150717:21424500,32.087589:34.874905,17.35
947341512,SHARP ACCL,150717:21424600,32.087524:34.874882,21.67
947341515,NORMAL,150717:21424900,32.087284:34.874817,29.58
947341516,NORMAL,150717:21425000,32.087212:34.874802,30.17
947341517,NORMAL,150717:21425100,32.087143:34.874794,27.89
947341520,NORMAL,150717:21425400,32.087002:34.874855,21.56
947341521,SHARP LEFT,150717:21425500,32.086987:34.874916,19.78
947341522,SHARP ACCL,150717:21425600,32.086971:34.874989,22.28
947341525,NORMAL,150717:21425900,32.086975:34.875267,30.58
947341526,NORMAL,150717:21430000,32.086971:34.875340,26.47
947341527,NORMAL,150717:21430100,32.086960:34.875393,23.52
947341529,NORMAL,150717:21430300,32.086960:34.875458,9.87
947341530,SHARP ACCL,150717:21430400,32.086967:34.875481,6
947341531,SHARP ACCL,150717:21430500,32.086987:34.875507,10.04
947341532,SHARP ACCL,150717:21430600,32.087040:34.875538,14.04
947341535,NORMAL,150717:21430900,32.087276:34.875580,32.21
947341536,NORMAL,150717:21431000,32.087376:34.875591,37.06
947341537,NORMAL,150717:21431100,32.087467:34.875599,35.87
947341540,NORMAL,150717:21431400,32.087650:34.875572,21.24
947341541,SHARP LEFT,150717:21431500,32.087685:34.875549,16.39
947341542,NORMAL,150717:21431600,32.087700:34.875511,12.72
947341545,SHARP ACCL,150717:21431900,32.087719:34.875343,19.43
947341546,NORMAL,150717:21432000,32.087730:34.875256,24.06
947341547,NORMAL,150717:21432100,32.087742:34.875168,29.09
947341550,NORMAL,150717:21432400,32.087769:34.874905,27.61
947341551,NORMAL,150717:21432500,32.087776:34.874825,26.26
947341552,NORMAL,150717:21432600,32.087776:34.874748,25.28
947341555,SHARP ACCL,150717:21432900,32.087788:34.874523,23.45
947341556,SHARP ACCL,150717:21433000,32.087799:34.874432,28.93
947341557,NORMAL,150717:21433100,32.087814:34.874317,34.91
947341560,NORMAL,150717:21433400,32.087868:34.873989,35.85
947341561,NORMAL,150717:21433500,32.087883:34.873894,33.32
947341562,NORMAL,150717:21433600,32.087898:34.873806,31.02
947341565,NORMAL,150717:21433900,32.087982:34.873554,31.5
947341566,NORMAL,150717:21434000,32.088009:34.873470,30.54
947341567,NORMAL,150717:21434100,32.088032:34.873383,30.39
947341570,NORMAL,150717:21434400,32.088070:34.873089,34.06
947341572,NORMAL,150717:21434600,32.088085:34.872883,34.58
947341575,NORMAL,150717:21434900,32.088112:34.872589,32.45
947341576,NORMAL,150717:21435000,32.088123:34.872486,34.56
947341577,NORMAL,150717:21435100,32.088135:34.872379,35.04
947341580,NORMAL,150717:21435400,32.088173:34.872074,34.6
947341581,NORMAL,150717:21435500,32.088181:34.871971,34.72
947341582,NORMAL,150717:21435600,32.088192:34.871868,34.85
947341584,NORMAL,150717:21435800,32.088215:34.871670,33.65
947341585,NORMAL,150717:21435900,32.088230:34.871578,32.56
947341586,NORMAL,150717:21440000,32.088242:34.871487,31.47
947341587,NORMAL,150717:21440100,32.088253:34.871395,30.63
947341590,NORMAL,150717:21440400,32.088291:34.871132,30.48
947341591,NORMAL,150717:21440500,32.088306:34.871052,28.54
947341592,NORMAL,150717:21440600,32.088314:34.870968,28.65
947341595,NORMAL,150717:21440900,32.088322:34.870796,18.52
947341596,NORMAL,150717:21441000,32.088318:34.870781,11.82
947341597,SHARP ACCL,150717:21441100,32.088310:34.870762,4.2
947341599,NORMAL,150717:21441300,32.088257:34.870720,12.54
947341600,NORMAL,150717:21441400,32.088215:34.870708,15.04
947341601,NORMAL,150717:21441500,32.088173:34.870708,16.04
947341602,NORMAL,150717:21441600,32.088120:34.870701,18.13
947341604,NORMAL,150717:21441800,32.087994:34.870682,23.72
947341605,NORMAL,150717:21441900,32.087921:34.870670,26.82
947341606,NORMAL,150717:21442000,32.087845:34.870663,29.24
947341607,NORMAL,150717:21442100,32.087772:34.870659,30.13
947341610,SHARP ACCL,150717:21442400,32.087635:34.870739,34.24
947341611,NORMAL,150717:21442500,32.087631:34.870808,27.21
947341612,NORMAL,150717:21442600,32.087624:34.870880,23.06
947341615,NORMAL,150717:21442900,32.087612:34.871037,16.39
947341616,NORMAL,150717:21443000,32.087608:34.871075,12.41
947341617,NORMAL,150717:21443100,32.087616:34.871105,11.24
947341619,NORMAL,150717:21443300,32.087643:34.871143,5.7
947341620,NORMAL,150717:21443400,32.087646:34.871147,3.41
947341621,NORMAL,150717:21443500,32.087650:34.871151,2.02
947341622,NORMAL,150717:21443600,32.087650:34.871151,0.89
